id,name,authors,mood
243,Band of Brothers: E Company  506th Regiment  101st Airborne from Normandy to Hitler's Eagle's Nest,Stephen E. Ambrose,[]
244,Twelve Sharp (Stephanie Plum  #12),Janet Evanovich,[]
245,Sideways Stories from Wayside School (Wayside School #1),Louis Sachar/Adam McCauley,[]
246,Saving the World and Other Extreme Sports (Maximum Ride  #3),James Patterson,[]
247,A Room of One's Own,Virginia Woolf,[]
248,The Art of Happiness,Dalai Lama XIV/Howard C. Cutler,[]
249,Bleak House,Charles Dickens/Nicola Bradbury/Hablot Knight Browne,[]
250,The Farthest Shore (Earthsea Cycle  #3),Ursula K. Le Guin,[]
251,Bitten (Otherworld  #1),Kelley Armstrong,[]
252,Brideshead Revisited,Evelyn Waugh,[]
253,2nd Chance (Women's Murder Club  #2),James Patterson/Andrew Gross,[]
254,Circus of the Damned (Anita Blake  Vampire Hunter  #3),Laurell K. Hamilton,[]
255,The Jungle Books,Rudyard Kipling/Alev Lytle Croutier,[]
256,In the Hand of the Goddess (Song of the Lioness  #2),Tamora Pierce,[]
257,Dry,Augusten Burroughs,[]
258,The Richest Man in Babylon,George S. Clason,[]
259,Meditations,Marcus Aurelius/Martin Hammond/Albert Wittstock/Diskin Clay,[]
260,Influence: The Psychology of Persuasion,Robert B. Cialdini,[]
261,Song of Solomon,Toni Morrison,[]
262,Rosencrantz and Guildenstern Are Dead,Tom Stoppard,[]
263,Wild Swans: Three Daughters of China,Jung Chang,[]
264,Magician: Apprentice (The Riftwar Saga  #1),Raymond E. Feist,[]
265,The Tombs of Atuan (Earthsea Cycle  #2),Ursula K. Le Guin/Margot Paronis,[]
266,Wyrd Sisters (Discworld  #6; Witches #2),Terry Pratchett,[]
267,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,[]
268,In a Sunburned Country,Bill Bryson,[]
269,Lioness Rampant (Song of the Lioness  #4),Tamora Pierce,[]
270,Little Town on the Prairie  (Little House  #7),Laura Ingalls Wilder/Garth Williams,[]
271,Notes from Underground  White Nights  The Dream of a Ridiculous Man  and Selections from The House of the Dead,Fyodor Dostoyevsky/Andrew R. MacAndrew/Ben Marcus,[]
272,Truman,David McCullough,[]
273,Half of a Yellow Sun,Chimamanda Ngozi Adichie,[]
274,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,[]
275,Shakespeare's Sonnets,William Shakespeare/Katherine Duncan-Jones,[]
276,A Scanner Darkly,Philip K. Dick,[]
277,Anne Rice's The Vampire Lestat: A Graphic Novel,Faye Perozich/Anne Rice/John Bolton/Daerick Gröss,[]
278,The A.B.C. Murders (Hercule Poirot  #13),Agatha Christie,[]
279,The Power of One (The Power of One  #1),Bryce Courtenay,[]
280,My Life in France,Julia Child/Alex Prud'Homme,[]
281,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,[]
282,The Laughing Corpse (Anita Blake  Vampire Hunter  #2),Laurell K. Hamilton,[]
283,Assassin's Quest (Farseer Trilogy  #3),Robin Hobb,[]
284,The Long Winter (Little House  #6),Laura Ingalls Wilder/Garth Williams,[]
285,The Kitchen God's Wife,Amy Tan,[]
286,The Miraculous Journey of Edward Tulane,Kate DiCamillo/Bagram Ibatoulline,[]
287,Essential Tales and Poems,Edgar Allan Poe/Benjamin F. Fisher,[]
288,Hawaii,James A. Michener,[]
289,Peter and the Starcatchers (Peter and the Starcatchers  #1),Dave Barry/Ridley Pearson/Greg Call,[]
290,Ham on Rye,Charles Bukowski,[]
291,What Is the What,Dave Eggers,[]
292,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,[]
293,Intensity,Dean Koontz,[]
294,I Capture the Castle,Dodie Smith,[]
295,Without Fail (Jack Reacher  #6),Lee Child/Dick Hill,[]
296,The Poet (Jack McEvoy  #1; Harry Bosch Universe  #5),Michael Connelly,[]
297,The Dispossessed,Ursula K. Le Guin,[]
298,Mother Night,Kurt Vonnegut Jr.,[]
299,The Lunatic Cafe (Anita Blake  Vampire Hunter #4),Laurell K. Hamilton,[]
300,The Trumpet of the Swan,E.B. White/Fred Marcellino,[]
301,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,[]
302,Mountains Beyond Mountains: The Quest of Dr. Paul Farmer  a Man Who Would Cure the World,Tracy Kidder,[]
303,The Doll's House (The Sandman  #2),Neil Gaiman/Steve Parkhouse/Chris Bachalo/Michael Zulli/Mike Dringenberg/Malcolm Jones III/Todd Klein/Clive Barker,[]
304,Emotional Intelligence: Why It Can Matter More Than IQ,Daniel Goleman,[]
305,Ubik,Philip K. Dick/David Alabort/Manuel Espín,[]
306,Reaper Man (Discworld  #11; Death  #2),Terry Pratchett,[]
307,Still Life with Woodpecker,Tom Robbins,[]
308,Rules of Prey (Lucas Davenport  #1),John Sandford,[]
309,His Majesty's Dragon (Temeraire  #1),Naomi Novik,[]
310,The Bachman Books,Richard Bachman/Stephen King,[]
311,4th of July (Women's Murder Club  #4),James Patterson/Maxine Paetro,[]
312,Cyrano de Bergerac,Edmond Rostand/Eteel Lawson/Lowell Bair,[]
313,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,[]
314,Wild Magic (Immortals  #1),Tamora Pierce,[]
315,How to Stop Worrying and Start Living,Dale Carnegie,[]
316,The 48 Laws of Power,Robert Greene/Joost Elffers,[]
317,Bloody Bones (Anita Blake  Vampire Hunter #5),Laurell K. Hamilton,[]
318,The Spirit Catches You and You Fall Down: A Hmong Child  Her American Doctors  and the Collision of Two Cultures,Anne Fadiman,[]
319,Hogfather (Discworld  #20; Death  #4),Terry Pratchett,[]
320,Every Which Way But Dead (The Hollows  #3),Kim Harrison,[]
321,The Valley of Horses (Earth's Children  #2),Jean M. Auel,[]
322,The Killing Dance (Anita Blake  Vampire Hunter  #6),Laurell K. Hamilton,[]
323,Trainspotting,Irvine Welsh/Eric Lindor Fall,[]
324,Burnt Offerings (Anita Blake  Vampire Hunter  #7),Laurell K. Hamilton,[]
325,Witches Abroad (Discworld  #12; Witches #3),Terry Pratchett,[]
326,The Kissing Hand,Audrey Penn/Ruth E. Harper/Nancy M. Leak,[]
327,Birdsong,Sebastian Faulks,[]
328,The Body Farm (Kay Scarpetta  #5),Patricia Cornwell,[]
329,Persepolis 2: The Story of a Return (Persepolis  #2),Marjane Satrapi/Anjali Singh,[]
330,A Hunger Like No Other (Immortals After Dark  #1),Kresley Cole,[]
331,Terrier (Beka Cooper  #1),Tamora Pierce,[]
332,Pope Joan,Donna Woolfolk Cross,[]
333,Travels with Charley: In Search of America,John Steinbeck,[]
334,1491: New Revelations of the Americas Before Columbus,Charles C. Mann,[]
335,I Am Legend,Richard Matheson,[]
336,The Cricket in Times Square,George Selden/Garth Williams,[]
337,Blue Moon (Anita Blake  Vampire Hunter  #8),Laurell K. Hamilton,[]
338,Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,Miep Gies/Alison Leslie Gold,[]
339,My Side of the Mountain (Mountain  #1),Jean Craighead George,[]
340,The Iliad/The Odyssey,Homer/Robert Fagles/Bernard Knox,[]
341,Jitterbug Perfume,Tom Robbins,[]
342,The Good  the Bad  and the Undead (The Hollows  #2),Kim Harrison,[]
343,The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,Ann Rule,[]
344,Blindsighted (Grant County  #1),Karin Slaughter,[]
345,The Black Cauldron (The Chronicles of Prydain  #2),Lloyd Alexander,[]
346,Who's Afraid of Virginia Woolf?,Edward Albee,[]
347,Without Remorse (John Clark  #1; Jack Ryan Universe Publication Order #6),Tom Clancy,[]
348,Black Like Me,John Howard Griffin,[]
349,Lords and Ladies (Discworld  #14; Witches #4),Terry Pratchett,[]
350,The Fall,Albert Camus/Justin O'Brien,[]
351,The Elements of Style,William Strunk Jr./E.B. White,[]
